"land - ocean interactions","1","£1,415,336.00"
"lasers & optics","24","£59,840,920.00"
"light-matter interactions","25","£35,116,928.00"
"logic & combinatorics","43","£24,297,595.00"
"macro-molecular delivery","3","£7,026,191.00"
"macroeconomics","1","£4,000,602.00"
"magnetism/magnetic phenomena","74","£61,078,943.00"
"management & business studies","8","£17,784,633.00"
"manufact. business strategy","10","£11,140,214.00"
"manufact. enterprise ops& mgmt","65","£119,063,980.00"
"manufacturing machine & plant","196","£273,265,770.00"
"marketing","2","£1,015,702.00"
"materials characterisation","270","£350,845,612.00"
"materials processing","108","£203,775,655.00"
"materials synthesis & growth","273","£305,344,034.00"
"materials testing & eng.","57","£94,707,839.00"
"mathematical & statistic psych","2","£1,117,398.00"
"mathematical analysis","86","£56,207,447.00"
"mathematical aspects of or","24","£36,307,556.00"
"mathematical physics","38","£27,981,443.00"
"mech. & fluid power transmiss.","1","£514,747.00"
"med.instrument.device& equip.","155","£192,497,214.00"
"media & communication studies","3","£12,545,468.00"
"medical imaging","60","£73,682,425.00"
"medical science & disease","30","£56,249,992.00"
"mental health","1","£294,021.00"
"microbiology","1","£404,819.00"
"microeconomic theory","2","£842,950.00"
"microsystems","36","£57,061,520.00"
"mobile computing","46","£67,914,107.00"
"modelling & simul. of it sys.","13","£21,688,225.00"
"multimedia","8","£31,132,743.00"
"multiphase flow","25","£24,773,814.00"
"music & acoustic technology","19","£28,310,628.00"
"musical performance","1","£5,971,211.00"
"networks & distributed systems","110","£177,563,885.00"
"new & emerging comp. paradigms","7","£17,376,463.00"
"new media/web-based studies","4","£25,232,837.00"
"non-linear systems mathematics","62","£75,268,389.00"
"novel industrial products","1","£7,174,439.00"
"numerical analysis","68","£68,652,593.00"
"oil & gas extraction","2","£2,642,452.00"
"optical communications","25","£60,200,016.00"
"optical devices & subsystems","53","£99,280,018.00"
"optical phenomena","13","£24,315,772.00"
"optoelect. devices & circuits","54","£117,816,421.00"
"organisational studies","5","£5,952,437.00"
"parallel computing","11","£12,635,358.00"
"particle technology","26","£32,455,830.00"
"pavement engineering","3","£10,890,078.00"
"physical organic chemistry","27","£20,341,238.00"
"plant physiology","2","£1,198,745.00"
"plant responses to environment","1","£1,190,209.00"
"plasmas - laser & fusion","38","£32,160,232.00"
"plasmas - technological","8","£10,160,650.00"
"political geography","2","£7,455,498.00"
"pollution","1","£6,531,178.00"
"population ecology","3","£16,690,970.00"
"power electronics","2","£2,270,158.00"
"power sys man, prot & control","5","£2,609,392.00"
"power systems plant","2","£3,941,441.00"
"product design","1","£5,965,328.00"
"protein chemistry","2","£389,453.00"
"protein engineering","1","£1,015,843.00"
"protein folding / misfolding","1","£458,233.00"
"psychology","8","£9,857,802.00"
"quantum fluids & solids","12","£12,041,645.00"
"quantum optics & information","68","£99,752,497.00"
"reactor engineering","21","£20,306,317.00"
"regional & extreme weather","2","£2,750,487.00"
"research approaches","1","£691,643.00"
"rf & microwave technology","81","£71,900,374.00"
"rheology","11","£4,582,687.00"
"robotics & autonomy","77","£93,009,453.00"
"scattering & spectroscopy","3","£7,558,809.00"
"science & technology studies","1","£2,667,741.00"
"separation processes","18","£18,158,126.00"
"social anthropology","2","£6,771,898.00"
"social policy","3","£1,942,868.00"
"social psychology","6","£4,160,146.00"
"social stats., comp. & methods","1","£3,444,605.00"
"social theory","1","£775,542.00"
"sociology","1","£3,567,862.00"
"software engineering","87","£92,094,590.00"
"soil science","6","£2,458,999.00"
"solar technology","61","£40,262,413.00"
"statistics & appl. probability","120","£200,779,552.00"
"structural biology","2","£524,187.00"
"structural engineering","35","£38,256,069.00"
"surfaces & interfaces","36","£33,940,347.00"
"survey & monitoring","1","£246,258.00"
"sustainable energy networks","62","£91,222,489.00"
"sustainable energy vectors","31","£63,410,664.00"
"synthetic biology","30","£52,068,052.00"
"system on chip","6","£12,898,174.00"
"systems neuroscience","1","£100,803.00"
"theoretical biology","8","£32,975,270.00"
"time-based media htp","1","£6,358,107.00"
"tissue engineering","46","£85,152,510.00"
"tools for the biosciences","3","£4,221,581.00"
"transport ops & management","37","£60,741,338.00"
"underwater engineering","6","£7,492,407.00"
"urban & land management","39","£73,439,680.00"
"vision & senses - ict appl.","29","£25,991,424.00"
"vlsi design","4","£7,404,543.00"
"waste management","6","£12,104,515.00"
"waste minimisation","6","£8,717,814.00"
"water engineering","35","£64,215,111.00"
"wind power","17","£27,401,527.00"
